dataset,model,n_features,seed,library,approximator,budget,method,runtime_s,n_model_evals,relative_mae,mean_abs_diff,sign_agreement,mean_sample_rho,relative_additivity_gap
bike,gradient_boosting,12,5,lightshap,permutation,512.0,lightshap / permutation,2.7925,1165310.0,0.026161642537310827,0.6481627333871588,0.9916666666666667,0.9958041958041959,1.479003929374703e-16
bike,gradient_boosting,12,5,lightshap,permutation,2048.0,lightshap / permutation,2.795,1165310.0,0.026161642537310827,0.6481627333871588,0.9916666666666667,0.9958041958041959,1.479003929374703e-16
bike,gradient_boosting,12,5,dalex,permutation,128.0,dalex / permutation,2.3897,144111.0,0.12929459644270697,3.2350731621943787,0.9916666666666667,0.9853146853146854,2.542951420071129e-16
bike,gradient_boosting,12,5,dalex,permutation,512.0,dalex / permutation,9.1351,560111.0,0.05288585555761154,1.319350435059958,0.975,0.9958041958041959,1.8882145027194823e-16
bike,gradient_boosting,12,5,dalex,permutation,2048.0,dalex / permutation,36.5419,2224111.0,0.029590567968638095,0.734813964876642,0.9833333333333333,0.9972027972027974,2.320808537398249e-16
diabetes_130,random_forest,12,5,shap,kernel,128.0,shap / kernel,0.4077,128110.0,0.34428530852901335,0.0027783046109312094,0.94,0.9026283544539592,3.0925833112356007e-16
diabetes_130,random_forest,12,5,shap,kernel,512.0,shap / kernel,1.0714,512110.0,0.15424842169565608,0.001211532034418197,0.98,0.9737317909903014,1.5103313845569216e-16
diabetes_130,random_forest,12,5,shap,kernel,2048.0,shap / kernel,3.8602,2048110.0,0.07212658669835674,0.0005635768349788016,1.0,0.9919454791670983,2.373377890018019e-16
diabetes_130,random_forest,12,5,shap,permutation,128.0,shap / permutation,0.6652,111665.0,0.15805988706285093,0.0012575667989417909,0.9666666666666667,0.960839160839161,1.8339738241048328e-15
diabetes_130,random_forest,12,5,shap,permutation,512.0,shap / permutation,2.3479,413391.0,0.08327329386678528,0.0006664272486772541,0.9666666666666667,0.9874125874125875,1.6182121977395586e-15
diabetes_130,random_forest,12,5,shap,permutation,2048.0,shap / permutation,9.2588,1640627.0,0.0415007409852798,0.00032988991769547163,0.975,0.9916083916083916,1.5894439808908556e-15
diabetes_130,random_forest,12,5,shapiq,kernel,128.0,shapiq / kernel,6.8692,128101.0,0.705201025682157,0.0069975164641347025,0.85,0.7783216783216784,3.7268853954146766e-08
diabetes_130,random_forest,12,5,shapiq,kernel,512.0,shapiq / kernel,7.9364,512101.0,0.2888356648034513,0.0023740729904050983,0.9083333333333333,0.925874125874126,4.0187458741009226e-08
diabetes_130,random_forest,12,5,shapiq,kernel,2048.0,shapiq / kernel,11.9339,2048101.0,0.10235371756943998,0.0008214870561289047,0.9583333333333334,0.9762237762237763,4.071704622828713e-08
diabetes_130,random_forest,12,5,shapiq,permutation,128.0,shapiq / permutation,32.062,123101.0,0.3332889568952752,0.002779858044733041,0.9166666666666666,0.8762237762237763,1.366490300313405e-16
diabetes_130,random_forest,12,5,shapiq,permutation,512.0,shapiq / permutation,77.546,508101.0,0.18944969387510666,0.0015092063204508817,0.9416666666666667,0.9573426573426573,4.3871530694272476e-16
diabetes_130,random_forest,12,5,shapiq,permutation,2048.0,shapiq / permutation,260.9074,2048101.0,0.09250995916345499,0.0007319178187403932,0.9666666666666667,0.9818181818181818,5.537881743375379e-16
diabetes_130,random_forest,12,5,lightshap,kernel,128.0,lightshap / kernel,15.5833,2706110.0,0.031869901769381405,0.00025332439109150275,0.9833333333333333,0.9965034965034967,3.0925833112356007e-16
diabetes_130,random_forest,12,5,lightshap,kernel,512.0,lightshap / kernel,48.104,8252310.0,0.023847033058379215,0.000189868710137161,0.9916666666666667,0.9944055944055943,2.373377890018019e-16
diabetes_130,random_forest,12,5,lightshap,kernel,2048.0,lightshap / kernel,73.6536,12705110.0,0.0231656795726284,0.00018456499988586463,0.9916666666666667,0.9965034965034965,2.9487422269920846e-16
diabetes_130,random_forest,12,5,lightshap,permutation,128.0,lightshap / permutation,14.9443,2239910.0,0.028940594946113483,0.00023004246225344683,1.0,0.9937062937062938,3.52410656396615e-16
diabetes_130,random_forest,12,5,lightshap,permutation,512.0,lightshap / permutation,45.4121,6777710.0,0.021767476231300154,0.0001732576197111779,1.0,0.9965034965034965,8.846226680976254e-16
diabetes_130,random_forest,12,5,lightshap,permutation,2048.0,lightshap / permutation,69.999,10428110.0,0.020868177715957757,0.00016616338466083044,1.0,0.9965034965034965,1.0716160776141968e-15
diabetes_130,random_forest,12,5,dalex,permutation,128.0,dalex / permutation,10.1766,144111.0,0.3429754301475825,0.002897519721019721,0.8916666666666667,0.8818181818181818,1.6541724688004374e-16
diabetes_130,random_forest,12,5,dalex,permutation,512.0,dalex / permutation,39.1832,560111.0,0.1879857598897302,0.0015275894856650667,0.9166666666666666,0.9503496503496504,2.5172189742615363e-16
diabetes_130,random_forest,12,5,dalex,permutation,2048.0,dalex / permutation,154.95,2224111.0,0.07727097412524862,0.0006144271790587589,0.95,0.9804195804195807,1.0788081318263724e-16
diabetes_130,decision_tree,12,5,shap,kernel,128.0,shap / kernel,0.0497,128110.0,0.31429078441055,0.008079381025933528,0.9,0.8577946604803051,
diabetes_130,decision_tree,12,5,shap,kernel,512.0,shap / kernel,0.1079,512110.0,0.13397336013529199,0.003356321282857105,0.96,0.959020735155196,
diabetes_130,decision_tree,12,5,shap,kernel,2048.0,shap / kernel,0.4241,2048110.0,0.04690353653533176,0.001182538619961936,1.0,0.9849402144837148,
diabetes_130,decision_tree,12,5,shap,permutation,128.0,shap / permutation,0.0463,111665.0,0.42917255290055945,0.011271825396825384,0.8490566037735849,0.8043708095129913,
diabetes_130,decision_tree,12,5,shap,permutation,512.0,shap / permutation,0.1591,413391.0,0.1945692656067885,0.004918452380952396,0.9051724137931034,0.9405594405594406,
diabetes_130,decision_tree,12,5,shap,permutation,2048.0,shap / permutation,0.609,1640627.0,0.10629806532036562,0.00268325984714876,0.9745762711864406,0.9853146853146855,
diabetes_130,decision_tree,12,5,shapiq,kernel,128.0,shapiq / kernel,0.4888,128101.0,0.5271049973135102,0.015296750480846328,0.8,0.7692307692307694,
