dataset,model,library,approximator,method,device,n_features,runtime_median,runtime_q25,runtime_q75,gap_mean,gap_q25,gap_q75,rho_median,rho_q25,rho_q75,relative_mae_median,relative_mae_q25,relative_mae_q75,sign_agreement_median,seed_count
covertype,cnn_1d,captum,deep_lift_shap,captum / deep_lift_shap,gpu,54,0.03755,0.034075,0.038625,0.3019695712001246,0.198251993092412,0.4344962774458663,0.9633000757704571,0.956945546322705,0.9678054638605993,0.18148202239226102,0.14966687288713262,0.20647616365924684,0.9835024928774929,10
covertype,cnn_1d,captum,gradient_shap,captum / gradient_shap,cpu,54,0.14850000000000002,0.147425,0.14955000000000002,0.1234102872859939,0.06995574757256498,0.16398532648217976,0.9615689235178535,0.9420002022697267,0.9672555830519365,0.14631533497262883,0.1426053373906831,0.1617137534960162,0.9847426470588235,10
covertype,cnn_1d,captum,gradient_shap,captum / gradient_shap,gpu,54,0.11925,0.11132500000000001,0.12262500000000001,0.11537910253081214,0.08898875921239785,0.1502262134955238,0.9633000757704571,0.956945546322705,0.9678054638605993,0.18148202239226102,0.14966687288713262,0.20647616365924684,0.9835024928774929,10
covertype,cnn_1d,shapiq,kernel,shapiq / kernel,cpu,54,1.3408000000000002,1.32955,1.376325,1.8152283622811779e-06,4.080250391768665e-07,2.8829090055725916e-06,0.89058179454481,0.8879370321900316,0.9430635770960583,0.26330028824810037,0.20643797037453845,0.2941233965822323,0.9592236467236468,10
covertype,cnn_1d,shapiq,permutation,shapiq / permutation,cpu,54,1.53185,1.482575,1.5476,3.123489618344039e-06,2.2886383085872382e-06,3.401638928285203e-06,0.9505887675382241,0.9441911688622543,0.9615308415863227,0.1944935546515716,0.17743361452710693,0.2091869865664051,0.9817903150706193,10
covertype,cnn_1d,shapiq_proxy,proxy,shapiq / proxyShap,cpu,54,1.6431,1.61865,1.7074500000000001,1.834449304436879e-06,3.318898273919537e-07,3.0320327033517365e-06,0.8297480846400256,0.821462036464806,0.8550340819249215,0.5022984481010636,0.491008659932442,0.5112537474337097,0.9638853138853138,10
covertype,mlp,captum,deep_lift_shap,captum / deep_lift_shap,cpu,54,0.0169,0.016025,0.01765,0.3170545205810167,0.26564505105012926,0.38247656763003957,0.9127543273758768,0.8673819134730485,0.9291217520667371,0.36530982523672034,0.3210611679170361,0.3964912105232168,0.9161570126433403,10
covertype,mlp,captum,deep_lift_shap,captum / deep_lift_shap,gpu,54,0.042800000000000005,0.040925,0.04675,0.31705451398245205,0.2656451733841016,0.38247655701150174,0.9127543273758768,0.8673819134730485,0.9291217520667371,0.3653097753885095,0.32106114185742685,0.39649120249583863,0.9161570126433403,10
covertype,mlp,captum,gradient_shap,captum / gradient_shap,cpu,54,0.0605,0.059825,0.0609,0.04715520583224375,0.043694569310519175,0.05093936411118965,0.9686780398482375,0.9658165960104105,0.9733725738983469,0.11985059131319681,0.11644614330995545,0.12387407208478207,0.964119066773934,10
covertype,mlp,captum,gradient_shap,captum / gradient_shap,gpu,54,0.11555,0.1119,0.121625,0.04914613640006698,0.037377909802719225,0.057324798458927975,0.9127543273758768,0.8673819134730485,0.9291217520667371,0.3653097753885095,0.32106114185742685,0.39649120249583863,0.9161570126433403,10
covertype,mlp,shapiq,kernel,shapiq / kernel,cpu,54,0.6657500000000001,0.641975,0.6685,1.3198951173789654e-07,6.881877060808968e-08,1.882587793508676e-07,0.8089390688311852,0.7406406345349608,0.839886525552246,0.30967009773273163,0.2895228852873297,0.368807379660971,0.8537390697109546,10
covertype,mlp,shapiq,permutation,shapiq / permutation,cpu,54,1.0039,0.9863000000000001,1.039125,2.2327913245594627e-07,1.5352640841234196e-07,3.109485499766052e-07,0.9449204604528669,0.9332857938582291,0.9497511152343282,0.16125439108159587,0.15713995093017707,0.17892695298383673,0.9531971095457858,10
covertype,mlp,shapiq_proxy,proxy,shapiq / proxyShap,cpu,54,0.9688,0.947975,0.99515,2.6075231575398085e-07,2.0298898566500858e-07,3.146974007891087e-07,0.8638524126781671,0.8563387497345397,0.8703653119057033,0.34538877487449404,0.30772227293463067,0.3673740558858588,0.8997525937749401,10
covertype,transformer,captum,deep_lift_shap,captum / deep_lift_shap,cpu,54,2.69025,2.646,2.707725,1.0590764026430595,0.7768069738099592,1.3047987183529701,0.8039973201236503,0.7379702535385568,0.8700903409054214,0.6124955192968445,0.447199820664053,0.8070140362598668,0.8697368421052631,10
covertype,transformer,captum,deep_lift_shap,captum / deep_lift_shap,gpu,54,0.12295,0.119825,0.1348,1.088963336256281,0.937066020843046,1.1734922969171648,0.4440410412568322,0.36103890494607616,0.47145252578570374,1.1980057220803824,1.137275154191394,1.2670066961688737,0.6802389705882352,10
