dataset,model,library,approximator,device,seed,n_features,runtime_s,relative_additivity_gap,mean_sample_rho,relative_mae,sign_agreement,method
covertype,cnn_1d,captum,gradient_shap,gpu,2,54,0.2116,0.1777011344421093,0.9587197480292262,0.14822130531156996,0.9920844327176781,captum / gradient_shap
covertype,cnn_1d,captum,deep_lift_shap,gpu,2,54,0.0472,0.2011491419255663,0.9587197480292262,0.14822130531156996,0.9920844327176781,captum / deep_lift_shap
gisette,mlp,captum,gradient_shap,gpu,3,100,0.1172,0.0672338125861071,0.9855361536153614,0.9352884075391324,0.936,captum / gradient_shap
gisette,mlp,captum,deep_lift_shap,gpu,3,100,0.0418,0.8529146327538384,0.9855361536153614,0.9352884075391324,0.936,captum / deep_lift_shap
gisette,transformer,captum,gradient_shap,gpu,3,100,0.1347,,,,,captum / gradient_shap
gisette,transformer,captum,deep_lift_shap,gpu,3,100,0.1309,,,,,captum / deep_lift_shap
gisette,cnn_1d,captum,gradient_shap,gpu,3,100,0.1625,0.0503770673149102,0.994151815181518,0.039545853395681695,0.998,captum / gradient_shap
gisette,cnn_1d,captum,deep_lift_shap,gpu,3,100,0.0592,0.0158387413250005,0.994151815181518,0.039545853395681695,0.998,captum / deep_lift_shap
ames_housing,mlp,captum,gradient_shap,gpu,3,79,0.1009,0.0386780310327861,0.9908338405356056,0.07851547722737556,0.9733333333333334,captum / gradient_shap
ames_housing,mlp,captum,deep_lift_shap,gpu,3,79,0.0311,1.5486327068333152e-07,0.9908338405356056,0.07851547722737556,0.9733333333333334,captum / deep_lift_shap
ames_housing,transformer,captum,gradient_shap,gpu,3,79,0.1135,,,,,captum / gradient_shap
ames_housing,transformer,captum,deep_lift_shap,gpu,3,79,0.2631,0.367651107657897,0.7601483684875786,0.7052567856008582,0.7703604806408545,captum / deep_lift_shap
ames_housing,cnn_1d,captum,gradient_shap,gpu,3,79,0.1134,0.0506481577989548,0.9964163116250762,0.05835278389417866,0.9893333333333333,captum / gradient_shap
ames_housing,cnn_1d,captum,deep_lift_shap,gpu,3,79,0.0289,5.772433686525075e-07,0.9964163116250762,0.05835278389417866,0.9893333333333333,captum / deep_lift_shap
bike,mlp,captum,gradient_shap,gpu,3,12,0.1032,0.0424535283335471,0.9874125874125875,0.07047208429624158,0.9833333333333333,captum / gradient_shap
bike,mlp,captum,deep_lift_shap,gpu,3,12,0.0373,5.59484662347731e-08,0.9874125874125875,0.07047208429624158,0.9833333333333333,captum / deep_lift_shap
bike,transformer,captum,gradient_shap,gpu,3,12,0.1718,0.0824059306640462,0.4944055944055944,1.0851945954453328,0.7,captum / gradient_shap
bike,transformer,captum,deep_lift_shap,gpu,3,12,0.0491,1.2327837504553762,0.4944055944055944,1.0851945954453328,0.7,captum / deep_lift_shap
bike,cnn_1d,captum,gradient_shap,gpu,3,12,0.1159,0.044696893476569,0.9951048951048952,0.04033900907990008,1.0,captum / gradient_shap
bike,cnn_1d,captum,deep_lift_shap,gpu,3,12,0.0421,1.7059928586285945e-07,0.9951048951048952,0.04033900907990008,1.0,captum / deep_lift_shap
diabetes_130,mlp,captum,gradient_shap,gpu,3,47,0.1029,0.1212160584668996,0.9533044356035868,0.49002778878143216,0.9666666666666667,captum / gradient_shap
diabetes_130,mlp,captum,deep_lift_shap,gpu,3,47,0.0349,0.6738849149546984,0.9533044356035868,0.49002778878143216,0.9666666666666667,captum / deep_lift_shap
diabetes_130,transformer,captum,gradient_shap,gpu,3,47,0.1149,,,,,captum / gradient_shap
diabetes_130,transformer,captum,deep_lift_shap,gpu,3,47,0.1097,0.3389511348946308,0.7491597886111278,1.2653832750503595,0.7818181818181819,captum / deep_lift_shap
diabetes_130,cnn_1d,captum,gradient_shap,gpu,3,47,0.1221,0.0498306336892269,0.9786149706295844,0.229466169929454,0.9848024316109423,captum / gradient_shap
diabetes_130,cnn_1d,captum,deep_lift_shap,gpu,3,47,0.0343,0.3105941303284417,0.9786149706295844,0.229466169929454,0.9848024316109423,captum / deep_lift_shap
covertype,mlp,captum,gradient_shap,gpu,3,54,0.1193,0.0504979413403245,0.8466971877043822,0.3992369154825636,0.88125,captum / gradient_shap
covertype,mlp,captum,deep_lift_shap,gpu,3,54,0.0419,0.391389816988074,0.8466971877043822,0.3992369154825636,0.88125,captum / deep_lift_shap
covertype,transformer,captum,gradient_shap,gpu,3,54,0.1853,,,,,captum / gradient_shap
covertype,transformer,captum,deep_lift_shap,gpu,3,54,0.1187,1.0878886306665374,0.40179038587311977,1.446515886906564,0.678125,captum / deep_lift_shap
covertype,cnn_1d,captum,gradient_shap,gpu,3,54,0.1206,0.0984998175598586,0.9680346631785482,0.17825389977897296,0.98125,captum / gradient_shap
covertype,cnn_1d,captum,deep_lift_shap,gpu,3,54,0.0397,0.2936135530829101,0.9680346631785482,0.17825389977897296,0.98125,captum / deep_lift_shap
gisette,mlp,captum,gradient_shap,gpu,4,100,0.1099,0.0723318187985365,0.9844188418841883,0.7466224635959664,0.941,captum / gradient_shap
gisette,mlp,captum,deep_lift_shap,gpu,4,100,0.0452,0.714111552367273,0.9844188418841883,0.7466224635959664,0.941,captum / deep_lift_shap
gisette,transformer,captum,gradient_shap,gpu,4,100,0.1494,,,,,captum / gradient_shap
gisette,transformer,captum,deep_lift_shap,gpu,4,100,0.1409,,,,,captum / deep_lift_shap
gisette,cnn_1d,captum,gradient_shap,gpu,4,100,0.1176,0.0501630690797031,0.9934389438943894,0.03971226366074282,0.999,captum / gradient_shap
gisette,cnn_1d,captum,deep_lift_shap,gpu,4,100,0.0458,0.016903155954551,0.9934389438943894,0.03971226366074282,0.999,captum / deep_lift_shap
ames_housing,mlp,captum,gradient_shap,gpu,4,79,0.1075,0.0435461049133527,0.9848012176560121,0.08723550576033623,0.952054794520548,captum / gradient_shap
ames_housing,mlp,captum,deep_lift_shap,gpu,4,79,0.0353,8.597765285354738e-08,0.9848012176560121,0.08723550576033623,0.952054794520548,captum / deep_lift_shap
ames_housing,transformer,captum,gradient_shap,gpu,4,79,0.0926,,,,,captum / gradient_shap
ames_housing,transformer,captum,deep_lift_shap,gpu,4,79,0.2373,0.6993476714399516,0.6666350076103501,0.9470610010124579,0.7493150684931507,captum / deep_lift_shap
ames_housing,cnn_1d,captum,gradient_shap,gpu,4,79,0.1134,0.0292133761961109,0.9968998477929987,0.04869959434515125,0.9917808219178083,captum / gradient_shap
ames_housing,cnn_1d,captum,deep_lift_shap,gpu,4,79,0.0365,0.0,0.9968998477929987,0.04869959434515125,0.9917808219178083,captum / deep_lift_shap
