dataset,model,n_features,seed,library,approximator,budget,method,runtime_s,n_model_evals,cross_method_rho_mean,hit_time_cap,evals_missing
gisette,decision_tree,14,0,shapiq,permutation,1024,shapiq / permutation,8.2362,1016101.0,0.955574137762162,False,False
gisette,decision_tree,14,0,lightshap,kernel,512,lightshap / kernel,8.3744,13312110.0,0.9338894860225507,False,False
gisette,decision_tree,14,0,lightshap,kernel,1024,lightshap / kernel,16.6716,26624110.0,0.9638930443957578,False,False
gisette,decision_tree,14,0,lightshap,permutation,512,lightshap / permutation,7.7312,11292110.0,0.9410590837110376,False,False
gisette,decision_tree,14,0,lightshap,permutation,1024,lightshap / permutation,15.4555,22556110.0,0.968486285291497,False,False
gisette,decision_tree,14,0,dalex,permutation,512,dalex / permutation,3.7329,556111.0,0.9010060897661041,False,False
gisette,decision_tree,14,0,dalex,permutation,1024,dalex / permutation,7.2783,1096111.0,0.9556614335027979,False,False
gisette,linear_regularized,14,0,shap,kernel,512,shap / kernel,0.1737,512110.0,0.9845052182472892,False,False
gisette,linear_regularized,14,0,shap,kernel,1024,shap / kernel,0.2381,1024110.0,0.9867275776564252,False,False
gisette,linear_regularized,14,0,shap,permutation,512,shap / permutation,4.3964,381994.0,0.9974175363745482,False,False
gisette,linear_regularized,14,0,shap,permutation,1024,shap / permutation,0.2802,773060.0,0.9977879296094043,False,False
gisette,linear_regularized,14,0,shapiq,kernel,512,shapiq / kernel,0.7265,512101.0,0.9974175363745482,False,False
gisette,linear_regularized,14,0,shapiq,kernel,1024,shapiq / kernel,0.882,1024101.0,0.9977879296094043,False,False
gisette,linear_regularized,14,0,shapiq,permutation,512,shapiq / permutation,4.7285,509101.0,0.9974175363745482,False,False
gisette,linear_regularized,14,0,shapiq,permutation,1024,shapiq / permutation,8.5829,1016101.0,0.9977879296094043,False,False
gisette,linear_regularized,14,0,lightshap,kernel,512,lightshap / kernel,7.9982,13312110.0,0.9974175363745482,False,False
gisette,linear_regularized,14,0,lightshap,kernel,1024,lightshap / kernel,15.9763,26624110.0,0.9977879296094043,False,False
gisette,linear_regularized,14,0,lightshap,permutation,512,lightshap / permutation,7.3922,11292110.0,0.9974175363745482,False,False
