dataset,model,n_background,n_features,n_samples,max_depth,n_estimators,max_depth_config,order,backend,library,mode,seed,imputer,n_eval,runtime_s,additivity_gap,relative_additivity_gap,mean_abs_diff,relative_mae,sign_agreement,mean_sample_rho,is_failure
gisette,lightgbm,100,1000,10000,12,100,12,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,4.3583,3.197442310920451e-15,4.743842206624968e-16,5.607595937084025e-10,4.217297393254359e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,15,100,15,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0446,3.375077994860476e-15,5.058934381632473e-16,5.653247902473884e-10,4.2398471018148596e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,15,100,15,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.5779,7.284484127012547e-12,1.0918777953788656e-12,5.653362409796661e-10,4.239932980508174e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,15,100,15,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,6.82,9.3577511162124e-08,1.3552493990070024e-08,2.621818266625983e-10,1.9702806445827734e-08,1.0,0.9993689448806068,False
gisette,lightgbm,100,1000,10000,15,100,15,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,0.7562,1.985330577269906e-06,2.975829634619207e-07,1.6959369128083391e-09,1.271926037682766e-07,1.0,1.0,False
gisette,lightgbm,100,1000,10000,15,100,15,1,woodelf_interventional,woodelf,interventional,0,marginal,10,0.9156,5.4178883601707636e-15,7.846532626078666e-16,2.621818266625983e-10,1.9702806445827734e-08,1.0,0.9993689448806068,False
gisette,lightgbm,100,1000,10000,15,100,15,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,3.6296,4.263256414560601e-15,6.390232903114706e-16,5.653247920072913e-10,4.2398471150138596e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,20,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0439,3.552713678800501e-15,5.243896761232081e-16,5.280620120285045e-10,3.968382253028448e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,20,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.5841,6.630935800444604e-11,9.787431780775907e-12,5.281243110600173e-10,3.9688504298149006e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,20,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,6.9517,8.878797839173557e-08,1.267547198540746e-08,2.616129672813771e-10,1.968217067980913e-08,1.0,0.9993671100310382,False
gisette,lightgbm,100,1000,10000,16,100,20,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,0.7678,2.9727618588992755e-06,4.387872959427291e-07,1.584007767771129e-09,1.1903807073984004e-07,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,20,1,woodelf_interventional,woodelf,interventional,0,marginal,10,0.9086,3.9079850466805505e-15,5.579083551158023e-16,2.616129672813771e-10,1.968217067980913e-08,1.0,0.9993671100310382,False
gisette,lightgbm,100,1000,10000,16,100,20,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,3.5785,5.861977570020826e-15,8.652429656032934e-16,5.280620142454123e-10,3.968382269688498e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,30,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0437,3.552713678800501e-15,5.243896761232081e-16,5.280620120394286e-10,3.968382253110543e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,30,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.5806,6.630935800444604e-11,9.787431780775907e-12,5.281243110039955e-10,3.9688504293938974e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,30,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,6.9643,8.878797839173557e-08,1.267547198540746e-08,2.616129672813771e-10,1.968217067980913e-08,1.0,0.9993671100310382,False
gisette,lightgbm,100,1000,10000,16,100,30,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,0.7533,2.9727618588992755e-06,4.387872959427291e-07,1.5840077677895883e-09,1.1903807074122727e-07,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,30,1,woodelf_interventional,woodelf,interventional,0,marginal,10,0.8992,3.9079850466805505e-15,5.579083551158023e-16,2.616129672813771e-10,1.968217067980913e-08,1.0,0.9993671100310382,False
gisette,lightgbm,100,1000,10000,16,100,30,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,4.797,5.4178883601707636e-15,7.996942560878923e-16,5.28062014218774e-10,3.968382269488312e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,50,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0439,3.552713678800501e-15,5.243896761232081e-16,5.280620120173355e-10,3.968382252944513e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,50,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.5738,6.630935800444604e-11,9.787431780775907e-12,5.281243109997084e-10,3.96885042936168e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,50,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,6.8071,8.878797839173557e-08,1.267547198540746e-08,2.616129672813771e-10,1.968217067980913e-08,1.0,0.9993671100310382,False
gisette,lightgbm,100,1000,10000,16,100,50,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,0.7638,2.9727618588992755e-06,4.387872959427291e-07,1.584007767746689e-09,1.1903807073800338e-07,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,50,1,woodelf_interventional,woodelf,interventional,0,marginal,10,0.9216,3.9079850466805505e-15,5.579083551158023e-16,2.616129672813771e-10,1.968217067980913e-08,1.0,0.9993671100310382,False
gisette,lightgbm,100,1000,10000,16,100,50,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,4.1321,5.773159728050814e-15,8.521332237002132e-16,5.280620141494947e-10,3.968382268967678e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,80,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0445,3.552713678800501e-15,5.243896761232081e-16,5.280620120853123e-10,3.9683822534553575e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,80,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.5824,6.630935800444604e-11,9.787431780775907e-12,5.281243110448285e-10,3.9688504297007576e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,80,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,6.9179,8.878797839173557e-08,1.267547198540746e-08,2.616129672813771e-10,1.968217067980913e-08,1.0,0.9993671100310382,False
gisette,lightgbm,100,1000,10000,16,100,80,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,0.7757,2.9727618588992755e-06,4.387872959427291e-07,1.5840077677201e-09,1.1903807073600522e-07,1.0,1.0,False
gisette,lightgbm,100,1000,10000,16,100,80,1,woodelf_interventional,woodelf,interventional,0,marginal,10,0.9358,3.9079850466805505e-15,5.579083551158023e-16,2.616129672813771e-10,1.968217067980913e-08,1.0,0.9993671100310382,False
gisette,lightgbm,100,1000,10000,16,100,80,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,4.3386,5.3290705182007506e-15,7.865845141848125e-16,5.280620142360024e-10,3.9683822696177825e-08,1.0,1.0,False
gisette,random_forest,100,1000,10000,4,100,4,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0047,2.234323837058127e-16,6.059504014712317e-16,1.5358623547725135e-08,2.7460174082577304e-05,1.0,0.9999999207340657,False
gisette,random_forest,100,1000,10000,4,100,4,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.5372,2.5673907444456745e-16,6.962784116284344e-16,1.5358694388814828e-08,2.7460300786422023e-05,1.0,0.9999999207340657,False
gisette,random_forest,100,1000,10000,4,100,4,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,4.5757,5.313346849999956e-09,1.3787610157646447e-08,2.3759184474138143e-07,0.00044219819883400453,1.0,0.9998316061872071,False
gisette,random_forest,100,1000,10000,4,100,4,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,0.3219,1.0374907508520216e-07,2.813683167025698e-07,1.5404472761837154e-08,2.754214935980804e-05,1.0,0.9999999207340657,False
gisette,random_forest,100,1000,10000,4,100,4,1,woodelf_interventional,woodelf,interventional,0,marginal,10,0.4094,5.0639977336452984e-09,1.314057383449512e-08,2.3759184474138143e-07,0.00044219819883400453,1.0,0.9998316061872071,False
gisette,random_forest,100,1000,10000,4,100,4,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,2.1844,3.4847125185422104e-15,9.450568062697283e-15,1.535862355213109e-08,2.7460174090455167e-05,1.0,0.9999999207340657,False
gisette,random_forest,100,1000,10000,8,100,8,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0282,2.675810961694225e-16,5.989123796973368e-16,1.8450530863909387e-06,0.002642463306036333,0.9994666666666667,0.9990281926281926,False
gisette,random_forest,100,1000,10000,8,100,8,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.673,6.6130260989449845e-15,1.480158073428332e-14,1.8450722708471387e-06,0.002642490740057775,0.9994666666666667,0.9990281926281926,False
gisette,random_forest,100,1000,10000,8,100,8,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,15.3512,1.734498619471863e-09,3.737494763767151e-09,5.63757441775351e-06,0.008355870180590995,0.9956420391203,0.9977146480773806,False
gisette,random_forest,100,1000,10000,8,100,8,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,3.5646,7.612238021618631e-08,1.703806305309225e-07,1.8451532290857248e-06,0.0026426067079688095,0.9994666666666667,0.9990281926281926,False
gisette,random_forest,100,1000,10000,8,100,8,1,woodelf_interventional,woodelf,interventional,0,marginal,10,4.0101,1.1201725301241557e-08,2.413745919918702e-08,5.63757441775351e-06,0.008355870180590995,0.9956420391203,0.9977146480773806,False
gisette,random_forest,100,1000,10000,8,100,8,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,2.1868,4.5147045824034404e-15,1.0105020510737793e-14,1.8450530863940037e-06,0.0026424633060407616,0.9994666666666667,0.9990281926281926,False
gisette,random_forest,100,1000,10000,12,100,12,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.074,2.8908082524981007e-16,6.093935361074772e-16,2.695424881761581e-06,0.003660631554929752,0.9981333333333332,0.9985949025949027,False
gisette,random_forest,100,1000,10000,12,100,12,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.8612,8.64405346346492e-13,1.822199830047853e-12,2.695462361264262e-06,0.00366068245527398,0.9981333333333332,0.9985949025949027,False
gisette,random_forest,100,1000,10000,12,100,12,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,23.2067,2.0201332703102982e-09,4.132439482716075e-09,8.230611298961179e-06,0.01156893573156355,0.9928985797159432,0.997074754372943,False
gisette,random_forest,100,1000,10000,12,100,12,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,6.4027,1.3804864116118792e-07,2.910118632716329e-07,2.695513201121326e-06,0.0036607514825787286,0.9981333333333332,0.9985949025949027,False
